season_id,team_id,game_id,game_date,wl_home,pts_home,team_id_away,wl_away,pts_away,attendance,game_time,season,team_city_name_home,team_nickname_home,team_city_name_away,team_nickname_away
22015,1610612737,21500001,2015-10-27 00:00:00,L,94,1610612765,W,106,19187,2:11,2015,Detroit,Pistons,Atlanta,Hawks
22015,1610612744,21500003,2015-10-27 00:00:00,W,111,1610612740,L,95,19596,2:25,2015,Golden State,Warriors,New Orleans,Pelicans
22015,1610612741,21500002,2015-10-27 00:00:00,W,97,1610612739,L,95,21957,2:22,2015,Cleveland,Cavaliers,Chicago,Bulls
22015,1610612738,21500005,2015-10-28 00:00:00,W,112,1610612755,L,95,18624,2:14,2015,Philadelphia,76ers,Boston,Celtics
22015,1610612748,21500008,2015-10-28 00:00:00,W,104,1610612766,L,94,19724,2:19,2015,Miami,Heat,Charlotte,Hornets
22015,1610612758,21500016,2015-10-28 00:00:00,L,104,1610612746,W,111,17458,2:20,2015,Sacramento,Kings,LA,Clippers
22015,1610612756,21500014,2015-10-28 00:00:00,L,95,1610612742,W,111,18055,2:21,2015,Dallas,Mavericks,Phoenix,Suns
22015,1610612763,21500011,2015-10-28 00:00:00,L,76,1610612739,W,106,18119,2:08,2015,Memphis,Grizzlies,Cleveland,Cavaliers
22015,1610612747,21500017,2015-10-28 00:00:00,L,111,1610612750,W,112,18997,2:35,2015,Los Angeles,Lakers,Minnesota,Timberwolves
22015,1610612753,21500004,2015-10-28 00:00:00,L,87,1610612764,W,88,18846,2:21,2015,Washington,Wizards,Orlando,Magic
22015,1610612765,21500007,2015-10-28 00:00:00,W,92,1610612762,L,87,18434,2:19,2015,Utah,Jazz,Detroit,Pistons
22015,1610612745,21500010,2015-10-28 00:00:00,L,85,1610612743,W,105,18240,2:13,2015,Denver,Nuggets,Houston,Rockets
22015,1610612749,21500012,2015-10-28 00:00:00,L,97,1610612752,W,122,18717,2:20,2015,New York,Knicks,Milwaukee,Bucks
22015,1610612757,21500015,2015-10-28 00:00:00,W,112,1610612740,L,94,19393,2:07,2015,Portland,Trail Blazers,New Orleans,Pelicans
22015,1610612751,21500006,2015-10-28 00:00:00,L,100,1610612741,W,115,17732,2:13,2015,Chicago,Bulls,Brooklyn,Nets
22015,1610612760,21500013,2015-10-28 00:00:00,W,112,1610612759,L,106,18203,2:19,2015,Oklahoma City,Thunder,San Antonio,Spurs
22015,1610612761,21500009,2015-10-28 00:00:00,W,106,1610612754,L,99,19800,2:35,2015,Toronto,Raptors,Indiana,Pacers
22015,1610612746,21500020,2015-10-29 00:00:00,W,104,1610612742,L,88,19218,2:24,2015,Dallas,Mavericks,LA,Clippers
22015,1610612754,21500018,2015-10-29 00:00:00,L,103,1610612763,W,112,18165,2:18,2015,Memphis,Grizzlies,Indiana,Pacers
22015,1610612752,21500019,2015-10-29 00:00:00,L,101,1610612737,W,112,19812,2:22,2015,New York,Knicks,Atlanta,Hawks
22015,1610612756,21500032,2015-10-30 00:00:00,W,110,1610612757,L,92,18055,2:39,2015,Portland,Trail Blazers,Phoenix,Suns
22015,1610612745,21500030,2015-10-30 00:00:00,L,92,1610612744,W,112,18142,2:21,2015,Golden State,Warriors,Houston,Rockets
22015,1610612765,21500025,2015-10-30 00:00:00,W,98,1610612741,L,94,16035,2:33,2015,Detroit,Pistons,Chicago,Bulls
22015,1610612739,21500021,2015-10-30 00:00:00,W,102,1610612748,L,92,20562,2:17,2015,Cleveland,Cavaliers,Miami,Heat
22015,1610612738,21500024,2015-10-30 00:00:00,L,103,1610612761,W,113,16898,2:29,2015,Toronto,Raptors,Boston,Celtics
22015,1610612759,21500028,2015-10-30 00:00:00,W,102,1610612751,L,75,18418,2:07,2015,San Antonio,Spurs,Brooklyn,Nets
22015,1610612737,21500026,2015-10-30 00:00:00,W,97,1610612766,L,94,17024,2:19,2015,Atlanta,Hawks,Charlotte,Hornets
22015,1610612743,21500029,2015-10-30 00:00:00,L,78,1610612750,W,95,17660,2:28,2015,Denver,Nuggets,Minnesota,Timberwolves
22015,1610612755,21500023,2015-10-30 00:00:00,L,71,1610612762,W,99,17122,2:15,2015,Philadelphia,76ers,Utah,Jazz
22015,1610612753,21500022,2015-10-30 00:00:00,L,136,1610612760,W,139,18846,3:07,2015,Oklahoma City,Thunder,Orlando,Magic
22015,1610612758,21500031,2015-10-30 00:00:00,W,132,1610612747,L,114,17391,2:14,2015,Sacramento,Kings,Los Angeles,Lakers
22015,1610612746,21500038,2015-10-31 00:00:00,W,114,1610612758,L,109,19060,2:35,2015,Sacramento,Kings,LA,Clippers
22015,1610612754,21500033,2015-10-31 00:00:00,L,76,1610612762,W,97,14412,2:13,2015,Indiana,Pacers,Utah,Jazz
22015,1610612764,21500034,2015-10-31 00:00:00,L,110,1610612752,W,117,20356,2:38,2015,New York,Knicks,Washington,Wizards
22015,1610612747,21500045,2015-11-01 00:00:00,L,93,1610612742,W,103,18997,2:13,2015,Los Angeles,Lakers,Dallas,Mavericks
22015,1610612760,21500044,2015-11-01 00:00:00,W,117,1610612743,L,93,18203,2:09,2015,Denver,Nuggets,Oklahoma City,Thunder
22015,1610612748,21500041,2015-11-01 00:00:00,W,109,1610612745,L,89,19600,2:16,2015,Houston,Rockets,Miami,Heat
22015,1610612738,21500040,2015-11-01 00:00:00,L,87,1610612759,W,95,17461,2:13,2015,San Antonio,Spurs,Boston,Celtics
22015,1610612766,21500039,2015-11-01 00:00:00,L,92,1610612737,W,94,18691,2:08,2015,Atlanta,Hawks,Charlotte,Hornets
22015,1610612745,21500049,2015-11-02 00:00:00,W,110,1610612760,L,105,17224,2:21,2015,Houston,Rockets,Oklahoma City,Thunder
22015,1610612744,21500051,2015-11-02 00:00:00,W,119,1610612763,L,69,19596,2:09,2015,Golden State,Warriors,Memphis,Grizzlies
22015,1610612746,21500052,2015-11-02 00:00:00,W,102,1610612756,L,96,19060,2:20,2015,Phoenix,Suns,LA,Clippers
